wavelength[nm], flux
407.11, 2.6470e-12
407.25, 2.6340e-12
407.39, 2.6650e-12
407.53, 2.6670e-12
407.67, 2.5870e-12
407.81, 2.5990e-12
407.95, 2.7040e-12
408.09, 2.8180e-12
408.23, 2.8250e-12
408.37, 2.7560e-12
408.51, 2.7230e-12
408.65, 2.7650e-12
408.79, 2.8540e-12
408.93, 2.8280e-12
409.07, 2.7270e-12
409.21, 2.6450e-12
409.35, 2.6040e-12
409.49, 2.5050e-12
409.63, 2.3570e-12
409.77, 2.2270e-12
409.91, 2.0770e-12
410.05, 1.9270e-12
410.19, 1.8770e-12
410.33, 1.9840e-12
410.47, 2.1900e-12
410.61, 2.3900e-12
410.75, 2.5030e-12
410.89, 2.5420e-12
411.03, 2.5630e-12
411.17, 2.6290e-12
411.31, 2.7340e-12
411.45, 2.8280e-12
411.59, 2.8960e-12
411.73, 2.9120e-12
411.87, 2.8920e-12
412.01, 2.8780e-12
412.15, 2.8630e-12
412.29, 2.8730e-12
412.43, 2.8850e-12
412.57, 2.8550e-12
412.71, 2.8240e-12
412.85, 2.8150e-12
412.99, 2.8230e-12
413.13, 2.7650e-12
413.27, 2.7410e-12
413.41, 2.7760e-12
413.55, 2.8500e-12
413.69, 2.9250e-12
413.83, 3.0470e-12
413.97, 3.0670e-12
414.11, 2.9940e-12
414.25, 2.8500e-12
414.39, 2.8070e-12
414.53, 2.8760e-12
414.67, 2.9610e-12
414.81, 2.9630e-12
414.95, 2.9310e-12
415.09, 2.8780e-12
415.23, 2.8210e-12
415.37, 2.7610e-12
415.51, 2.7190e-12
415.65, 2.7330e-12
415.79, 2.7730e-12
415.93, 2.8380e-12
416.07, 2.9600e-12
416.21, 3.0280e-12
416.35, 3.0560e-12
416.49, 3.0660e-12
416.63, 3.0220e-12
416.77, 2.9660e-12
416.91, 2.9180e-12
417.05, 2.8540e-12
417.19, 2.7450e-12
417.33, 2.6930e-12
417.47, 2.7090e-12
417.61, 2.7520e-12
417.75, 2.7740e-12
417.89, 2.8090e-12
418.03, 2.8160e-12
418.17, 2.8010e-12
418.31, 2.7890e-12
418.45, 2.8220e-12
418.59, 2.7810e-12
418.73, 2.7400e-12
418.87, 2.7690e-12
419.01, 2.8540e-12
419.15, 2.9110e-12
419.29, 2.9210e-12
419.43, 2.8940e-12
419.57, 2.8040e-12
419.71, 2.6930e-12
419.85, 2.6140e-12
419.99, 2.5870e-12
420.13, 2.5940e-12
420.27, 2.6430e-12
420.41, 2.7580e-12
420.55, 2.8850e-12
420.69, 2.9640e-12
420.83, 2.9670e-12
420.97, 2.9510e-12
421.11, 2.9740e-12
421.25, 3.0210e-12
421.39, 3.0130e-12
421.53, 2.9120e-12
421.67, 2.8370e-12
421.81, 2.8620e-12
421.95, 2.9420e-12
422.09, 2.9380e-12
422.23, 2.8520e-12
422.37, 2.7430e-12
422.51, 2.5420e-12
422.65, 2.3190e-12
422.79, 2.3850e-12
422.93, 2.6060e-12
423.07, 2.8450e-12
423.21, 2.9110e-12
423.35, 2.8130e-12
423.49, 2.7290e-12
423.63, 2.6830e-12
423.77, 2.6810e-12
423.91, 2.7270e-12
424.05, 2.7810e-12
424.19, 2.8450e-12
424.33, 2.8920e-12
424.47, 2.8770e-12
424.61, 2.8300e-12
424.75, 2.7410e-12
424.89, 2.6420e-12
425.03, 2.6080e-12
425.17, 2.6290e-12
425.31, 2.6550e-12
425.45, 2.6600e-12
425.59, 2.6750e-12
425.73, 2.7580e-12
425.87, 2.7230e-12
426.01, 2.6330e-12
426.15, 2.5880e-12
426.29, 2.7460e-12
426.43, 2.8910e-12
426.57, 2.9610e-12
426.71, 2.9210e-12
426.85, 2.8230e-12
426.99, 2.6650e-12
427.13, 2.5040e-12
427.27, 2.3830e-12
427.41, 2.4450e-12
427.55, 2.6030e-12
427.69, 2.7560e-12
427.83, 2.8930e-12
427.97, 2.8850e-12
428.11, 2.8210e-12
428.25, 2.7920e-12
428.39, 2.7940e-12
428.53, 2.7720e-12
428.67, 2.7380e-12
428.81, 2.6550e-12
428.95, 2.5660e-12
429.09, 2.5240e-12
429.23, 2.5800e-12
429.37, 2.6400e-12
429.51, 2.6380e-12
429.65, 2.5990e-12
429.79, 2.4640e-12
429.93, 2.2660e-12
430.07, 2.1220e-12
430.21, 2.0810e-12
430.35, 2.1100e-12
430.49, 2.1460e-12
430.63, 2.1330e-12
430.77, 2.0650e-12
430.91, 2.0020e-12
431.05, 2.0410e-12
431.19, 2.1520e-12
431.33, 2.2770e-12
431.47, 2.4600e-12
431.61, 2.6900e-12
431.75, 2.8770e-12
431.89, 2.9350e-12
432.03, 2.8980e-12
432.17, 2.8150e-12
432.31, 2.6760e-12
432.45, 2.4480e-12
432.59, 2.2880e-12
432.73, 2.3230e-12
432.87, 2.5170e-12
433.01, 2.6490e-12
433.15, 2.6880e-12
433.29, 2.6760e-12
433.43, 2.6480e-12
433.57, 2.5660e-12
433.71, 2.3530e-12
433.85, 2.1100e-12
433.99, 1.8870e-12
434.13, 1.8040e-12
434.27, 1.9650e-12
434.41, 2.1430e-12
434.55, 2.3210e-12
