wavelength[nm], flux
407.18, 3.9460e-12
407.32, 3.7870e-12
407.46, 3.8610e-12
407.60, 4.0940e-12
407.74, 4.1770e-12
407.88, 4.1040e-12
408.02, 3.9930e-12
408.16, 3.9730e-12
408.30, 3.9630e-12
408.44, 3.8470e-12
408.58, 3.7820e-12
408.72, 3.7760e-12
408.86, 3.7560e-12
409.00, 3.6750e-12
409.14, 3.5770e-12
409.28, 3.5650e-12
409.42, 3.5870e-12
409.56, 3.4240e-12
409.70, 3.2290e-12
409.84, 2.9980e-12
409.98, 2.7990e-12
410.12, 2.8550e-12
410.26, 2.9660e-12
410.40, 3.1580e-12
410.54, 3.3640e-12
410.68, 3.4710e-12
410.82, 3.7030e-12
410.96, 3.6830e-12
411.10, 3.6420e-12
411.24, 3.8180e-12
411.38, 3.7700e-12
411.52, 3.6130e-12
411.66, 3.6610e-12
411.80, 3.7850e-12
411.94, 3.7450e-12
412.08, 3.7030e-12
412.22, 3.7690e-12
412.36, 3.9510e-12
412.50, 3.9370e-12
412.64, 3.8930e-12
412.78, 3.8890e-12
412.92, 3.8830e-12
413.06, 3.8780e-12
413.20, 3.9040e-12
413.34, 3.8770e-12
413.48, 3.8110e-12
413.62, 3.6770e-12
413.76, 3.7210e-12
413.90, 3.7380e-12
414.04, 3.5810e-12
414.18, 3.4390e-12
414.32, 3.4050e-12
414.46, 3.5160e-12
414.60, 3.6540e-12
414.74, 3.6440e-12
414.88, 3.7190e-12
415.02, 3.7770e-12
415.16, 3.7320e-12
415.30, 3.7280e-12
415.44, 3.5980e-12
415.58, 3.4740e-12
415.72, 3.5270e-12
415.86, 3.6100e-12
416.00, 3.6680e-12
416.14, 3.7200e-12
416.28, 3.7170e-12
416.42, 3.7240e-12
416.56, 3.7670e-12
416.70, 3.7070e-12
416.84, 3.5960e-12
416.98, 3.5710e-12
417.12, 3.6560e-12
417.26, 3.7040e-12
417.40, 3.6450e-12
417.54, 3.6280e-12
417.68, 3.6290e-12
417.82, 3.6400e-12
417.96, 3.6220e-12
418.10, 3.5330e-12
418.24, 3.5170e-12
418.38, 3.5710e-12
418.52, 3.5170e-12
418.66, 3.3740e-12
418.80, 3.4510e-12
418.94, 3.5880e-12
419.08, 3.6260e-12
419.22, 3.6180e-12
419.36, 3.6070e-12
419.50, 3.5620e-12
419.64, 3.4620e-12
419.78, 3.4850e-12
419.92, 3.5000e-12
420.06, 3.5050e-12
420.20, 3.5750e-12
420.34, 3.5910e-12
420.48, 3.5630e-12
420.62, 3.6060e-12
420.76, 3.6230e-12
420.90, 3.5490e-12
421.04, 3.4390e-12
421.18, 3.4220e-12
421.32, 3.5140e-12
421.46, 3.5770e-12
421.60, 3.5690e-12
421.74, 3.5330e-12
421.88, 3.4900e-12
422.02, 3.4420e-12
422.16, 3.4460e-12
422.30, 3.5780e-12
422.44, 3.6800e-12
422.58, 3.5790e-12
422.72, 3.4910e-12
422.86, 3.4310e-12
423.00, 3.3420e-12
423.14, 3.2990e-12
423.28, 3.4050e-12
423.42, 3.4640e-12
423.56, 3.4540e-12
423.70, 3.4040e-12
423.84, 3.4070e-12
423.98, 3.3940e-12
424.12, 3.3980e-12
424.26, 3.4630e-12
424.40, 3.4530e-12
424.54, 3.4270e-12
424.68, 3.4130e-12
424.82, 3.3540e-12
424.96, 3.3500e-12
425.10, 3.4130e-12
425.24, 3.4250e-12
425.38, 3.3750e-12
425.52, 3.3450e-12
425.66, 3.3460e-12
425.80, 3.3680e-12
425.94, 3.3590e-12
426.08, 3.3230e-12
426.22, 3.3250e-12
426.36, 3.3540e-12
426.50, 3.3730e-12
426.64, 3.3630e-12
426.78, 3.3950e-12
426.92, 3.4300e-12
427.06, 3.3700e-12
427.20, 3.2800e-12
427.34, 3.1520e-12
427.48, 3.0770e-12
427.62, 3.1210e-12
