wavelength[nm], flux
435.50, 3.1300e-13
435.64, 3.3450e-13
435.78, 3.5180e-13
435.92, 3.6740e-13
436.06, 3.6790e-13
436.20, 3.6220e-13
436.34, 3.7430e-13
436.48, 3.8490e-13
436.62, 3.8240e-13
436.76, 3.7710e-13
436.90, 3.9140e-13
437.04, 4.0030e-13
437.18, 3.9440e-13
437.32, 3.8630e-13
437.46, 3.7970e-13
437.60, 3.6750e-13
437.74, 3.6530e-13
437.88, 3.7330e-13
438.02, 3.6040e-13
438.16, 3.3840e-13
438.30, 3.1180e-13
438.44, 2.9470e-13
438.58, 3.0260e-13
438.72, 3.3790e-13
438.86, 3.5840e-13
439.00, 3.6760e-13
439.14, 3.8540e-13
439.28, 4.0760e-13
439.42, 4.0760e-13
439.56, 3.9540e-13
439.70, 3.9500e-13
439.84, 4.1890e-13
439.98, 4.3130e-13
440.12, 4.3150e-13
440.26, 4.0930e-13
440.40, 3.6440e-13
440.54, 3.4060e-13
440.68, 3.3600e-13
440.82, 3.4480e-13
440.96, 3.6860e-13
441.10, 3.9130e-13
441.24, 4.0270e-13
441.38, 3.9910e-13
441.52, 3.8910e-13
441.66, 4.0410e-13
441.80, 4.3290e-13
441.94, 4.5210e-13
442.08, 4.6180e-13
442.22, 4.5540e-13
442.36, 4.2340e-13
442.50, 3.9800e-13
442.64, 3.8160e-13
442.78, 3.8220e-13
442.92, 4.1270e-13
443.06, 4.3670e-13
443.20, 4.3860e-13
443.34, 4.1280e-13
443.48, 3.8020e-13
443.62, 3.5900e-13
443.76, 3.8930e-13
443.90, 4.3130e-13
444.04, 4.6590e-13
444.18, 4.7140e-13
444.32, 4.6750e-13
444.46, 4.7040e-13
444.60, 4.8050e-13
444.74, 4.9290e-13
444.88, 4.8090e-13
445.02, 4.7510e-13
445.16, 4.6090e-13
445.30, 4.3500e-13
445.44, 3.7790e-13
445.58, 3.4910e-13
445.72, 3.5720e-13
445.86, 3.7120e-13
446.00, 3.7930e-13
446.14, 3.9600e-13
446.28, 4.2650e-13
446.42, 4.6710e-13
446.56, 4.9370e-13
446.70, 4.9880e-13
446.84, 5.0430e-13
446.98, 5.1070e-13
447.12, 5.3060e-13
447.26, 5.4350e-13
447.40, 5.5060e-13
447.54, 5.4100e-13
447.68, 5.5730e-13
447.82, 5.6430e-13
447.96, 5.4510e-13
448.10, 5.2290e-13
448.24, 5.3540e-13
448.38, 5.5400e-13
448.52, 5.5630e-13
448.66, 5.5170e-13
448.80, 5.3780e-13
448.94, 5.2280e-13
449.08, 5.2730e-13
449.22, 5.5270e-13
449.36, 5.5100e-13
449.50, 5.3620e-13
449.64, 5.2840e-13
449.78, 5.4080e-13
449.92, 5.6950e-13
450.06, 5.8480e-13
450.20, 5.9120e-13
450.34, 5.9500e-13
450.48, 5.9870e-13
450.62, 6.1010e-13
450.76, 6.0720e-13
450.90, 5.8600e-13
451.04, 5.7300e-13
451.18, 5.6900e-13
451.32, 5.6830e-13
451.46, 5.6720e-13
451.60, 5.5600e-13
451.74, 5.5360e-13
451.88, 5.5680e-13
452.02, 5.6410e-13
452.16, 5.7310e-13
452.30, 5.5880e-13
452.44, 5.5540e-13
452.58, 5.5160e-13
452.72, 5.2640e-13
452.86, 5.0070e-13
453.00, 5.1030e-13
453.14, 5.1250e-13
453.28, 4.7560e-13
453.42, 4.2550e-13
453.56, 4.2520e-13
453.70, 4.8850e-13
453.84, 5.5560e-13
453.98, 5.9150e-13
454.12, 5.8230e-13
454.26, 5.7570e-13
454.40, 5.6610e-13
454.54, 5.5410e-13
454.68, 5.4780e-13
454.82, 5.4580e-13
454.96, 5.6790e-13
455.10, 5.7150e-13
455.24, 5.6100e-13
455.38, 5.6460e-13
455.52, 5.8390e-13
455.66, 6.1420e-13
455.80, 6.3250e-13
455.94, 6.4510e-13
456.08, 6.5150e-13
456.22, 6.4680e-13
456.36, 6.3790e-13
456.50, 6.4810e-13
456.64, 6.7630e-13
456.78, 6.8310e-13
456.92, 6.7280e-13
457.06, 6.4380e-13
457.20, 6.3790e-13
457.34, 6.5340e-13
457.48, 6.5100e-13
457.62, 6.4400e-13
457.76, 6.3580e-13
457.90, 6.1240e-13
458.04, 5.9740e-13
458.18, 6.1460e-13
458.32, 6.3470e-13
458.46, 6.2590e-13
458.60, 5.9950e-13
458.74, 6.1400e-13
458.88, 6.4730e-13
459.02, 6.5530e-13
459.16, 6.4620e-13
459.30, 6.3290e-13
459.44, 6.4680e-13
459.58, 6.7230e-13
459.72, 6.8040e-13
459.86, 6.7540e-13
460.00, 6.5370e-13
460.14, 6.4940e-13
460.28, 6.6620e-13
460.42, 6.5350e-13
460.56, 6.2900e-13
460.70, 6.3680e-13
460.84, 6.8200e-13
460.98, 7.0830e-13
461.12, 7.0610e-13
461.26, 6.9630e-13
461.40, 6.8800e-13
461.54, 6.7820e-13
461.68, 6.7190e-13
461.82, 6.6920e-13
461.96, 6.7960e-13
462.10, 6.9210e-13
462.24, 7.0020e-13
462.38, 6.8160e-13
462.52, 6.6600e-13
462.66, 6.6810e-13
462.80, 6.7770e-13
462.94, 6.8550e-13
463.08, 6.8900e-13
463.22, 6.8260e-13
463.36, 6.5360e-13
463.50, 6.4380e-13
463.64, 6.5460e-13
463.78, 6.4180e-13
463.92, 6.2790e-13
464.06, 6.3580e-13
464.20, 6.5880e-13
464.34, 6.7410e-13
464.48, 6.6430e-13
464.62, 6.5340e-13
464.76, 7.1250e-13
464.90, 7.7310e-13
465.04, 7.5070e-13
465.18, 6.6140e-13
465.32, 6.1810e-13
465.46, 6.0780e-13
465.60, 6.2500e-13
465.74, 6.7900e-13
465.88, 7.3670e-13
466.02, 7.7050e-13
466.16, 7.6680e-13
466.30, 7.5100e-13
466.44, 7.4500e-13
466.58, 7.1590e-13
466.72, 6.6070e-13
466.86, 6.2770e-13
467.00, 6.5100e-13
467.14, 6.8510e-13
467.28, 6.8380e-13
467.42, 6.8510e-13
467.56, 6.9280e-13
467.70, 7.0730e-13
467.84, 7.0880e-13
467.98, 6.9080e-13
468.12, 6.7150e-13
468.26, 6.5640e-13
468.40, 6.6750e-13
468.54, 6.7390e-13
468.68, 6.6620e-13
468.82, 6.6430e-13
468.96, 6.5970e-13
469.10, 6.5290e-13
469.24, 6.6730e-13
469.38, 6.8200e-13
469.52, 6.7300e-13
469.66, 6.7640e-13
469.80, 6.8000e-13
469.94, 6.9040e-13
470.08, 6.7430e-13
470.22, 6.3660e-13
470.36, 6.3020e-13
470.50, 6.4420e-13
470.64, 6.8980e-13
470.78, 7.0330e-13
