wavelength[nm], flux
407.60, 2.4870e-12
407.74, 2.4020e-12
407.88, 2.3540e-12
408.02, 2.3770e-12
408.16, 2.4720e-12
408.30, 2.4710e-12
408.44, 2.3770e-12
408.58, 2.3460e-12
408.72, 2.3520e-12
408.86, 2.3980e-12
409.00, 2.4140e-12
409.14, 2.3590e-12
409.28, 2.2640e-12
409.42, 2.1610e-12
409.56, 2.0540e-12
409.70, 1.9160e-12
409.84, 1.7570e-12
409.98, 1.5870e-12
410.12, 1.4020e-12
410.26, 1.3070e-12
410.40, 1.3820e-12
410.54, 1.5740e-12
410.68, 1.7710e-12
410.82, 1.9050e-12
410.96, 2.0230e-12
411.10, 2.1410e-12
411.24, 2.2200e-12
411.38, 2.2650e-12
411.52, 2.3170e-12
411.66, 2.3420e-12
411.80, 2.3580e-12
411.94, 2.4050e-12
412.08, 2.4210e-12
412.22, 2.4010e-12
412.36, 2.3740e-12
412.50, 2.4240e-12
412.64, 2.4470e-12
412.78, 2.4290e-12
412.92, 2.4270e-12
413.06, 2.4660e-12
413.20, 2.4570e-12
413.34, 2.4520e-12
413.48, 2.4610e-12
413.62, 2.5010e-12
413.76, 2.6140e-12
413.90, 2.6910e-12
414.04, 2.7280e-12
414.18, 2.6880e-12
414.32, 2.6180e-12
414.46, 2.5630e-12
414.60, 2.5770e-12
414.74, 2.6570e-12
414.88, 2.6860e-12
415.02, 2.6790e-12
415.16, 2.6730e-12
415.30, 2.6330e-12
415.44, 2.5620e-12
415.58, 2.5040e-12
415.72, 2.4870e-12
415.86, 2.5300e-12
416.00, 2.5400e-12
416.14, 2.5970e-12
416.28, 2.6540e-12
416.42, 2.7180e-12
416.56, 2.7810e-12
416.70, 2.7310e-12
416.84, 2.6800e-12
416.98, 2.6900e-12
417.12, 2.6580e-12
417.26, 2.5160e-12
417.40, 2.4170e-12
417.54, 2.3780e-12
417.68, 2.4400e-12
417.82, 2.4750e-12
417.96, 2.5010e-12
418.10, 2.5440e-12
418.24, 2.5800e-12
418.38, 2.5490e-12
418.52, 2.5300e-12
418.66, 2.5360e-12
418.80, 2.5460e-12
418.94, 2.5480e-12
419.08, 2.5770e-12
419.22, 2.6220e-12
419.36, 2.6600e-12
419.50, 2.6980e-12
419.64, 2.6530e-12
419.78, 2.5660e-12
419.92, 2.4850e-12
420.06, 2.4830e-12
420.20, 2.5090e-12
420.34, 2.5260e-12
420.48, 2.5680e-12
420.62, 2.6010e-12
420.76, 2.6280e-12
420.90, 2.6330e-12
421.04, 2.6470e-12
421.18, 2.6390e-12
421.32, 2.6450e-12
421.46, 2.6440e-12
421.60, 2.6360e-12
421.74, 2.5940e-12
421.88, 2.5870e-12
422.02, 2.5800e-12
422.16, 2.6000e-12
422.30, 2.6220e-12
422.44, 2.5640e-12
422.58, 2.4620e-12
422.72, 2.3530e-12
422.86, 2.3150e-12
423.00, 2.4480e-12
423.14, 2.5570e-12
423.28, 2.5810e-12
423.42, 2.4870e-12
423.56, 2.4390e-12
423.70, 2.4680e-12
423.84, 2.5010e-12
423.98, 2.5240e-12
424.12, 2.5480e-12
424.26, 2.5790e-12
424.40, 2.5960e-12
424.54, 2.5880e-12
424.68, 2.5210e-12
424.82, 2.4560e-12
424.96, 2.4280e-12
425.10, 2.4600e-12
425.24, 2.4830e-12
425.38, 2.5300e-12
425.52, 2.5700e-12
425.66, 2.5950e-12
425.80, 2.6060e-12
425.94, 2.5510e-12
426.08, 2.5030e-12
426.22, 2.5140e-12
426.36, 2.5970e-12
426.50, 2.6570e-12
426.64, 2.6660e-12
426.78, 2.6410e-12
426.92, 2.6020e-12
427.06, 2.5260e-12
427.20, 2.4630e-12
427.34, 2.4350e-12
427.48, 2.4500e-12
427.62, 2.4640e-12
