wavelength[nm], flux
418.90, 2.9110e-11
419.04, 2.8900e-11
419.18, 2.8510e-11
419.32, 2.8910e-11
419.46, 2.8800e-11
419.60, 2.9100e-11
419.74, 2.9350e-11
419.88, 2.8910e-11
420.02, 2.8830e-11
420.16, 2.8980e-11
420.30, 2.9240e-11
420.44, 2.9270e-11
420.58, 2.9060e-11
420.72, 2.8810e-11
420.86, 2.8760e-11
421.00, 2.8610e-11
421.14, 2.8360e-11
421.28, 2.8190e-11
421.42, 2.8320e-11
421.56, 2.8730e-11
421.70, 2.8520e-11
421.84, 2.8210e-11
421.98, 2.8090e-11
422.12, 2.8040e-11
422.26, 2.8230e-11
422.40, 2.8240e-11
422.54, 2.8010e-11
422.68, 2.7710e-11
422.82, 2.7670e-11
422.96, 2.7820e-11
423.10, 2.7880e-11
423.24, 2.7650e-11
423.38, 2.7590e-11
423.52, 2.7590e-11
423.66, 2.7540e-11
423.80, 2.7620e-11
423.94, 2.7570e-11
424.08, 2.7950e-11
424.22, 2.8260e-11
424.36, 2.8370e-11
424.50, 2.8280e-11
424.64, 2.8060e-11
424.78, 2.7960e-11
424.92, 2.7950e-11
425.06, 2.7700e-11
425.20, 2.7770e-11
425.34, 2.7840e-11
425.48, 2.7650e-11
425.62, 2.7510e-11
425.76, 2.7150e-11
425.90, 2.6940e-11
426.04, 2.7060e-11
426.18, 2.7320e-11
426.32, 2.7440e-11
426.46, 2.7290e-11
426.60, 2.6920e-11
426.74, 2.6710e-11
426.88, 2.6680e-11
427.02, 2.6750e-11
427.16, 2.6920e-11
427.30, 2.7000e-11
427.44, 2.6750e-11
427.58, 2.6580e-11
427.72, 2.6590e-11
427.86, 2.6700e-11
428.00, 2.6930e-11
428.14, 2.6680e-11
428.28, 2.6580e-11
428.42, 2.6690e-11
428.56, 2.6770e-11
428.70, 2.6660e-11
428.84, 2.6660e-11
428.98, 2.6810e-11
429.12, 2.6690e-11
429.26, 2.6850e-11
429.40, 2.7230e-11
429.54, 2.7350e-11
429.68, 2.7120e-11
429.82, 2.6860e-11
429.96, 2.6670e-11
430.10, 2.6750e-11
430.24, 2.7070e-11
430.38, 2.6730e-11
430.52, 2.6560e-11
430.66, 2.6690e-11
430.80, 2.6610e-11
430.94, 2.6420e-11
431.08, 2.6430e-11
431.22, 2.6540e-11
431.36, 2.6560e-11
431.50, 2.6490e-11
431.64, 2.6450e-11
431.78, 2.6470e-11
431.92, 2.6340e-11
432.06, 2.6010e-11
432.20, 2.5870e-11
432.34, 2.5610e-11
432.48, 2.5290e-11
432.62, 2.5210e-11
432.76, 2.4810e-11
432.90, 2.3880e-11
433.04, 2.3150e-11
433.18, 2.2860e-11
433.32, 2.2400e-11
433.46, 2.1150e-11
433.60, 1.9120e-11
433.74, 1.7170e-11
433.88, 1.5570e-11
434.02, 1.4560e-11
434.16, 1.4820e-11
434.30, 1.6240e-11
434.44, 1.7930e-11
434.58, 1.9600e-11
434.72, 2.0990e-11
434.86, 2.2010e-11
435.00, 2.2700e-11
435.14, 2.3060e-11
435.28, 2.3470e-11
435.42, 2.3990e-11
435.56, 2.4350e-11
435.70, 2.4970e-11
435.84, 2.5550e-11
435.98, 2.5550e-11
436.12, 2.5340e-11
436.26, 2.5500e-11
436.40, 2.5580e-11
436.54, 2.5600e-11
436.68, 2.5780e-11
436.82, 2.5750e-11
436.96, 2.5610e-11
437.10, 2.5250e-11
437.24, 2.5190e-11
437.38, 2.5760e-11
437.52, 2.5940e-11
437.66, 2.5710e-11
437.80, 2.5400e-11
437.94, 2.5590e-11
438.08, 2.5660e-11
438.22, 2.5370e-11
438.36, 2.4450e-11
438.50, 2.3440e-11
438.64, 2.2580e-11
438.78, 2.2260e-11
438.92, 2.2770e-11
439.06, 2.3770e-11
439.20, 2.4300e-11
439.34, 2.4480e-11
439.48, 2.4770e-11
439.62, 2.5210e-11
439.76, 2.5110e-11
439.90, 2.4890e-11
440.04, 2.4660e-11
440.18, 2.4700e-11
440.32, 2.5030e-11
440.46, 2.5070e-11
440.60, 2.4890e-11
440.74, 2.4480e-11
440.88, 2.3890e-11
441.02, 2.3800e-11
441.16, 2.4130e-11
441.30, 2.4370e-11
441.44, 2.4450e-11
441.58, 2.4260e-11
441.72, 2.4350e-11
441.86, 2.4100e-11
442.00, 2.3520e-11
442.14, 2.2940e-11
442.28, 2.2870e-11
442.42, 2.2880e-11
442.56, 2.3050e-11
442.70, 2.3100e-11
442.84, 2.3150e-11
442.98, 2.2980e-11
443.12, 2.3010e-11
443.26, 2.3220e-11
443.40, 2.3280e-11
443.54, 2.2870e-11
443.68, 2.2440e-11
443.82, 2.2440e-11
443.96, 2.2680e-11
444.10, 2.3070e-11
444.24, 2.3730e-11
444.38, 2.3800e-11
444.52, 2.3420e-11
444.66, 2.3220e-11
444.80, 2.3210e-11
444.94, 2.3500e-11
445.08, 2.3800e-11
445.22, 2.3870e-11
445.36, 2.3910e-11
445.50, 2.3610e-11
445.64, 2.3380e-11
445.78, 2.3130e-11
445.92, 2.3170e-11
446.06, 2.3450e-11
446.20, 2.3220e-11
446.34, 2.3210e-11
446.48, 2.2980e-11
446.62, 2.2610e-11
446.76, 2.2040e-11
446.90, 2.0870e-11
447.04, 2.0230e-11
447.18, 2.0430e-11
447.32, 2.1300e-11
447.46, 2.2420e-11
447.60, 2.2770e-11
447.74, 2.2860e-11
447.88, 2.2540e-11
448.02, 2.2150e-11
448.16, 2.2040e-11
448.30, 2.2390e-11
448.44, 2.2840e-11
448.58, 2.3120e-11
448.72, 2.3040e-11
448.86, 2.3060e-11
449.00, 2.3140e-11
449.14, 2.3210e-11
449.28, 2.3580e-11
449.42, 2.3640e-11
449.56, 2.3150e-11
449.70, 2.2910e-11
449.84, 2.3030e-11
449.98, 2.3250e-11
450.12, 2.3360e-11
450.26, 2.3730e-11
450.40, 2.3430e-11
450.54, 2.2630e-11
450.68, 2.2380e-11
450.82, 2.2680e-11
450.96, 2.3060e-11
451.10, 2.3250e-11
451.24, 2.3190e-11
451.38, 2.3210e-11
451.52, 2.2780e-11
451.66, 2.2800e-11
451.80, 2.3020e-11
451.94, 2.3170e-11
452.08, 2.3090e-11
452.22, 2.2960e-11
452.36, 2.2770e-11
452.50, 2.2770e-11
452.64, 2.2770e-11
452.78, 2.3250e-11
452.92, 2.3220e-11
453.06, 2.3220e-11
453.20, 2.3260e-11
453.34, 2.3110e-11
453.48, 2.3030e-11
453.62, 2.2940e-11
453.76, 2.2790e-11
453.90, 2.2670e-11
454.04, 2.2660e-11
454.18, 2.2800e-11
454.32, 2.2630e-11
454.46, 2.2510e-11
454.60, 2.2400e-11
454.74, 2.2180e-11
454.88, 2.1950e-11
455.02, 2.1850e-11
455.16, 2.1940e-11
455.30, 2.2050e-11
455.44, 2.2050e-11
455.58, 2.2200e-11
455.72, 2.2360e-11
455.86, 2.2280e-11
456.00, 2.2180e-11
456.14, 2.2000e-11
456.28, 2.2260e-11
456.42, 2.2240e-11
456.56, 2.1730e-11
456.70, 2.1680e-11
456.84, 2.2000e-11
456.98, 2.2210e-11
457.12, 2.2020e-11
457.26, 2.2160e-11
457.40, 2.2360e-11
457.54, 2.2130e-11
457.68, 2.2080e-11
457.82, 2.2120e-11
457.96, 2.2250e-11
458.10, 2.2220e-11
458.24, 2.1930e-11
458.38, 2.1920e-11
458.52, 2.2250e-11
458.66, 2.2110e-11
458.80, 2.1700e-11
458.94, 2.1700e-11
459.08, 2.1840e-11
459.22, 2.1940e-11
459.36, 2.1790e-11
459.50, 2.1880e-11
459.64, 2.2150e-11
459.78, 2.2190e-11
459.92, 2.1830e-11
460.06, 2.1170e-11
460.20, 2.1110e-11
460.34, 2.1570e-11
460.48, 2.1850e-11
460.62, 2.1800e-11
460.76, 2.1700e-11
460.90, 2.1880e-11
461.04, 2.1720e-11
461.18, 2.1630e-11
461.32, 2.1530e-11
461.46, 2.1640e-11
461.60, 2.1980e-11
461.74, 2.1990e-11
461.88, 2.1530e-11
462.02, 2.1260e-11
462.16, 2.1190e-11
462.30, 2.1460e-11
462.44, 2.1640e-11
462.58, 2.1470e-11
462.72, 2.1110e-11
462.86, 2.0890e-11
463.00, 2.0910e-11
463.14, 2.1110e-11
463.28, 2.1500e-11
463.42, 2.1520e-11
463.56, 2.1270e-11
463.70, 2.1130e-11
463.84, 2.1040e-11
463.98, 2.0970e-11
464.12, 2.1200e-11
464.26, 2.1420e-11
464.40, 2.1590e-11
464.54, 2.1700e-11
464.68, 2.1370e-11
464.82, 2.1170e-11
464.96, 2.0940e-11
465.10, 2.0800e-11
465.24, 2.0970e-11
465.38, 2.0980e-11
465.52, 2.1340e-11
465.66, 2.1460e-11
465.80, 2.1680e-11
465.94, 2.1690e-11
466.08, 2.1510e-11
