wavelength[nm], flux
412.93, 9.8550e-13
413.07, 9.4350e-13
413.21, 9.1840e-13
413.35, 9.5630e-13
413.49, 1.0170e-12
413.63, 1.0470e-12
413.77, 1.0650e-12
413.91, 1.0530e-12
414.05, 9.9560e-13
414.19, 9.3940e-13
414.33, 9.3480e-13
414.47, 9.8050e-13
414.61, 1.0180e-12
414.75, 1.0200e-12
414.89, 1.0100e-12
415.03, 1.0140e-12
415.17, 1.0030e-12
415.31, 9.7170e-13
415.45, 9.5500e-13
415.59, 9.5680e-13
415.73, 9.9090e-13
415.87, 1.0310e-12
416.01, 1.0510e-12
416.15, 1.0640e-12
416.29, 1.0780e-12
416.43, 1.0780e-12
416.57, 1.0640e-12
416.71, 1.0470e-12
416.85, 1.0390e-12
416.99, 1.0070e-12
417.13, 9.4020e-13
417.27, 9.0520e-13
417.41, 9.2310e-13
417.55, 9.5020e-13
417.69, 9.6420e-13
417.83, 9.7670e-13
417.97, 9.7820e-13
418.11, 9.7370e-13
418.25, 9.7660e-13
418.39, 9.7580e-13
418.53, 9.5580e-13
418.67, 9.3710e-13
418.81, 9.5310e-13
418.95, 9.8730e-13
419.09, 1.0230e-12
419.23, 1.0360e-12
419.37, 1.0230e-12
419.51, 9.6800e-13
419.65, 9.0450e-13
419.79, 8.7610e-13
419.93, 8.7530e-13
420.07, 8.9150e-13
420.21, 9.2140e-13
420.35, 9.6040e-13
420.49, 1.0010e-12
420.63, 1.0360e-12
420.77, 1.0560e-12
420.91, 1.0730e-12
421.05, 1.0870e-12
421.19, 1.0690e-12
421.33, 1.0300e-12
421.47, 9.8790e-13
421.61, 9.8580e-13
421.75, 1.0100e-12
421.89, 1.0320e-12
422.03, 1.0350e-12
422.17, 9.9400e-13
422.31, 8.9770e-13
422.45, 7.8350e-13
422.59, 7.1850e-13
422.73, 7.8100e-13
422.87, 8.8100e-13
423.01, 9.4870e-13
423.15, 9.7220e-13
423.29, 9.5130e-13
423.43, 9.1740e-13
423.57, 9.0230e-13
423.71, 9.0540e-13
423.85, 9.2970e-13
423.99, 9.8050e-13
424.13, 1.0150e-12
424.27, 1.0340e-12
424.41, 1.0330e-12
424.55, 1.0030e-12
424.69, 9.6240e-13
424.83, 9.2300e-13
424.97, 9.0210e-13
425.11, 9.1150e-13
425.25, 9.1210e-13
425.39, 9.2280e-13
425.53, 9.5320e-13
425.67, 9.6700e-13
425.81, 9.2250e-13
425.95, 8.8910e-13
426.09, 9.0540e-13
426.23, 9.8440e-13
426.37, 1.0300e-12
426.51, 1.0390e-12
426.65, 1.0130e-12
426.79, 9.7260e-13
426.93, 8.9700e-13
427.07, 8.3650e-13
427.21, 8.1010e-13
427.35, 8.3170e-13
427.49, 8.9550e-13
427.63, 9.6190e-13
427.77, 9.9790e-13
427.91, 9.8670e-13
428.05, 9.6800e-13
428.19, 9.6200e-13
428.33, 9.4900e-13
428.47, 9.1270e-13
428.61, 9.0540e-13
428.75, 8.7520e-13
428.89, 8.4140e-13
429.03, 8.3550e-13
429.17, 8.8550e-13
429.31, 9.0810e-13
429.45, 8.9750e-13
429.59, 8.5470e-13
429.73, 7.6740e-13
429.87, 7.1840e-13
430.01, 7.0210e-13
430.15, 6.9830e-13
430.29, 7.0540e-13
430.43, 7.0880e-13
430.57, 7.0140e-13
430.71, 6.8250e-13
430.85, 6.6110e-13
430.99, 7.1300e-13
431.13, 7.8930e-13
431.27, 8.7680e-13
431.41, 9.7160e-13
431.55, 1.0790e-12
431.69, 1.1370e-12
431.83, 1.1490e-12
431.97, 1.1260e-12
432.11, 1.0730e-12
432.25, 9.7180e-13
432.39, 8.9840e-13
432.53, 8.8120e-13
432.67, 9.5360e-13
432.81, 1.0430e-12
432.95, 1.0970e-12
433.09, 1.1270e-12
433.23, 1.1550e-12
433.37, 1.1660e-12
433.51, 1.1240e-12
433.65, 1.0460e-12
433.79, 9.6980e-13
433.93, 9.3990e-13
434.07, 9.5880e-13
434.21, 1.0000e-12
434.35, 1.0400e-12
434.49, 1.0870e-12
434.63, 1.1310e-12
434.77, 1.1610e-12
434.91, 1.1440e-12
435.05, 1.0630e-12
435.19, 1.0200e-12
435.33, 1.0410e-12
435.47, 1.0730e-12
435.61, 1.1090e-12
435.75, 1.1420e-12
435.89, 1.1450e-12
436.03, 1.1610e-12
436.17, 1.1870e-12
436.31, 1.2140e-12
436.45, 1.2250e-12
436.59, 1.2100e-12
436.73, 1.1880e-12
436.87, 1.1630e-12
437.01, 1.1530e-12
437.15, 1.1290e-12
437.29, 1.0900e-12
437.43, 1.0590e-12
437.57, 1.0730e-12
437.71, 1.0970e-12
437.85, 1.0990e-12
437.99, 1.0530e-12
438.13, 9.5610e-13
438.27, 8.3980e-13
