wavelength[nm], flux
423.94, 1.8270e-12
424.08, 1.8270e-12
424.22, 1.8420e-12
424.36, 1.8480e-12
424.50, 1.7930e-12
424.64, 1.7450e-12
424.78, 1.7320e-12
424.92, 1.7140e-12
425.06, 1.7200e-12
425.20, 1.7520e-12
425.34, 1.7690e-12
425.48, 1.7650e-12
425.62, 1.7630e-12
425.76, 1.7720e-12
425.90, 1.7640e-12
426.04, 1.7240e-12
426.18, 1.7140e-12
426.32, 1.7610e-12
426.46, 1.8030e-12
426.60, 1.8140e-12
426.74, 1.8000e-12
426.88, 1.7710e-12
427.02, 1.7280e-12
427.16, 1.6820e-12
427.30, 1.6760e-12
427.44, 1.6820e-12
427.58, 1.7160e-12
427.72, 1.7720e-12
427.86, 1.7860e-12
428.00, 1.7830e-12
428.14, 1.7550e-12
428.28, 1.7130e-12
428.42, 1.7170e-12
428.56, 1.7240e-12
428.70, 1.7080e-12
428.84, 1.6960e-12
428.98, 1.6810e-12
429.12, 1.6790e-12
429.26, 1.6910e-12
429.40, 1.6830e-12
429.54, 1.6820e-12
429.68, 1.6340e-12
429.82, 1.5790e-12
429.96, 1.5810e-12
430.10, 1.5840e-12
430.24, 1.5780e-12
430.38, 1.6010e-12
430.52, 1.5960e-12
430.66, 1.5650e-12
430.80, 1.5590e-12
430.94, 1.5840e-12
431.08, 1.6130e-12
431.22, 1.5950e-12
431.36, 1.5190e-12
431.50, 1.4990e-12
431.64, 1.4980e-12
431.78, 1.5070e-12
431.92, 1.5040e-12
432.06, 1.4590e-12
432.20, 1.4210e-12
432.34, 1.3970e-12
432.48, 1.3970e-12
432.62, 1.3280e-12
432.76, 1.2870e-12
432.90, 1.2800e-12
433.04, 1.2180e-12
433.18, 1.1520e-12
433.32, 1.0840e-12
433.46, 9.9170e-13
433.60, 8.8770e-13
433.74, 7.7170e-13
433.88, 6.8000e-13
434.02, 6.3860e-13
434.16, 6.5490e-13
434.30, 7.3990e-13
434.44, 8.4470e-13
434.58, 9.2260e-13
434.72, 9.9400e-13
434.86, 1.0530e-12
435.00, 1.0940e-12
435.14, 1.1200e-12
435.28, 1.1750e-12
435.42, 1.2840e-12
435.56, 1.3550e-12
435.70, 1.3580e-12
435.84, 1.3670e-12
435.98, 1.3980e-12
436.12, 1.4370e-12
436.26, 1.4720e-12
436.40, 1.5040e-12
436.54, 1.5490e-12
436.68, 1.5770e-12
436.82, 1.5760e-12
436.96, 1.5700e-12
437.10, 1.5810e-12
437.24, 1.6060e-12
437.38, 1.5750e-12
437.52, 1.5560e-12
437.66, 1.6170e-12
437.80, 1.6420e-12
437.94, 1.6760e-12
438.08, 1.6630e-12
438.22, 1.5710e-12
438.36, 1.5550e-12
438.50, 1.5970e-12
438.64, 1.6150e-12
438.78, 1.6290e-12
438.92, 1.6290e-12
439.06, 1.6300e-12
439.20, 1.6640e-12
439.34, 1.6630e-12
439.48, 1.6350e-12
439.62, 1.6280e-12
439.76, 1.6590e-12
439.90, 1.6770e-12
440.04, 1.6240e-12
440.18, 1.5990e-12
440.32, 1.6120e-12
440.46, 1.6190e-12
440.60, 1.6040e-12
440.74, 1.6110e-12
440.88, 1.6890e-12
441.02, 1.7050e-12
441.16, 1.7020e-12
441.30, 1.7000e-12
441.44, 1.6130e-12
441.58, 1.5880e-12
441.72, 1.6160e-12
441.86, 1.6590e-12
442.00, 1.7250e-12
442.14, 1.6960e-12
442.28, 1.6820e-12
442.42, 1.7030e-12
442.56, 1.6930e-12
442.70, 1.6920e-12
442.84, 1.6980e-12
442.98, 1.6560e-12
443.12, 1.6060e-12
443.26, 1.5830e-12
443.40, 1.6150e-12
443.54, 1.6790e-12
443.68, 1.7010e-12
443.82, 1.6880e-12
443.96, 1.6560e-12
444.10, 1.6450e-12
444.24, 1.6220e-12
444.38, 1.6000e-12
444.52, 1.6300e-12
444.66, 1.6310e-12
444.80, 1.6190e-12
444.94, 1.6460e-12
445.08, 1.6620e-12
445.22, 1.6370e-12
445.36, 1.5940e-12
445.50, 1.6190e-12
445.64, 1.6300e-12
445.78, 1.5530e-12
445.92, 1.5630e-12
446.06, 1.6100e-12
446.20, 1.5980e-12
446.34, 1.6040e-12
446.48, 1.5840e-12
446.62, 1.5560e-12
446.76, 1.5360e-12
446.90, 1.5180e-12
447.04, 1.5620e-12
447.18, 1.6120e-12
447.32, 1.6160e-12
447.46, 1.5970e-12
447.60, 1.5950e-12
447.74, 1.5930e-12
447.88, 1.5600e-12
448.02, 1.5070e-12
448.16, 1.5130e-12
448.30, 1.5730e-12
448.44, 1.6290e-12
448.58, 1.6200e-12
448.72, 1.5680e-12
448.86, 1.5750e-12
449.00, 1.5880e-12
449.14, 1.5920e-12
449.28, 1.5980e-12
449.42, 1.6050e-12
449.56, 1.6190e-12
449.70, 1.6190e-12
449.84, 1.5810e-12
449.98, 1.5670e-12
450.12, 1.5930e-12
450.26, 1.6320e-12
450.40, 1.6100e-12
450.54, 1.5960e-12
450.68, 1.6250e-12
450.82, 1.6410e-12
450.96, 1.6280e-12
451.10, 1.6060e-12
451.24, 1.5610e-12
451.38, 1.5520e-12
451.52, 1.5830e-12
451.66, 1.5810e-12
451.80, 1.5490e-12
451.94, 1.5310e-12
452.08, 1.5340e-12
452.22, 1.5140e-12
452.36, 1.5000e-12
